,category,label,year,sales
0,3RM,Ang Mo Kio-3RM,2003,363000
1,4RM,Ang Mo Kio-4RM,2003,490000
2,5RM,Ang Mo Kio-5RM,2003,657500
3,EXE,Ang Mo Kio-EXE,2003,815500
4,3RM,Bedok-3RM,2003,347000
5,4RM,Bedok-4RM,2003,452000
6,5RM,Bedok-5RM,2003,620000
7,EXE,Bedok-EXE,2003,706250
8,3RM,Bishan-3RM,2003,385000
9,4RM,Bishan-4RM,2003,550000
10,5RM,Bishan-5RM,2003,730000
11,EXE,Bishan-EXE,2003,855000
12,3RM,Bukit Batok-3RM,2003,336000
13,4RM,Bukit Batok-4RM,2003,444300
14,5RM,Bukit Batok-5RM,2003,610000
15,EXE,Bukit Batok-EXE,2003,678500
16,3RM,Bukit Merah-3RM,2003,402000
17,4RM,Bukit Merah-4RM,2003,671500
18,5RM,Bukit Merah-5RM,2003,800000
19,3RM,Bukit Panjang-3RM,2003,350000
20,4RM,Bukit Panjang-4RM,2003,425000
21,5RM,Bukit Panjang-5RM,2003,516000
22,EXE,Bukit Panjang-EXE,2003,622500
23,3RM,Bukit Timah-3RM,2003,459000
24,4RM,Bukit Timah-4RM,2003,610000
25,5RM,Bukit Timah-5RM,2003,790000
26,EXE,Bukit Timah-EXE,2003,950000
27,3RM,Central Area-3RM,2003,450000
28,4RM,Central Area-4RM,2003,567000
29,5RM,Central Area-5RM,2003,623888
30,3RM,Choa Chu Kang-3RM,2003,337000
31,4RM,Choa Chu Kang-4RM,2003,435000
32,5RM,Choa Chu Kang-5RM,2003,499750
33,EXE,Choa Chu Kang-EXE,2003,610000
34,3RM,Clementi-3RM,2003,375000
35,4RM,Clementi-4RM,2003,527000
36,5RM,Clementi-5RM,2003,723000
37,EXE,Clementi-EXE,2003,875000
38,3RM,Geylang-3RM,2003,322000
39,4RM,Geylang-4RM,2003,500000
40,5RM,Geylang-5RM,2003,663500
41,EXE,Geylang-EXE,2003,755000
42,3RM,Hougang-3RM,2003,350000
43,4RM,Hougang-4RM,2003,448000
44,5RM,Hougang-5RM,2003,548000
45,EXE,Hougang-EXE,2003,685000
